species,island,bill_length,bill_depth,flipper_length,body_mass,sex
Chinstrap,Dream,46.5,17.9,192,3500,female
Chinstrap,Dream,50,19.5,196,3900,male
Chinstrap,Dream,51.3,19.2,193,3650,male
Chinstrap,Dream,45.4,18.7,188,3525,female
Chinstrap,Dream,52.7,19.8,197,3725,male
Chinstrap,Dream,45.2,17.8,198,3950,female
Chinstrap,Dream,46.1,18.2,178,3250,female
Chinstrap,Dream,51.3,18.2,197,3750,male
Chinstrap,Dream,46,18.9,195,4150,female
Chinstrap,Dream,51.3,19.9,198,3700,male
Chinstrap,Dream,46.6,17.8,193,3800,female
Chinstrap,Dream,51.7,20.3,194,3775,male
Chinstrap,Dream,47,17.3,185,3700,female
Chinstrap,Dream,52,18.1,201,4050,male
Chinstrap,Dream,45.9,17.1,190,3575,female
Chinstrap,Dream,50.5,19.6,201,4050,male
Chinstrap,Dream,50.3,20,197,3300,male
Chinstrap,Dream,58,17.8,181,3700,female
Chinstrap,Dream,46.4,18.6,190,3450,female
Chinstrap,Dream,49.2,18.2,195,4400,male
Chinstrap,Dream,42.4,17.3,181,3600,female
Chinstrap,Dream,48.5,17.5,191,3400,male
Chinstrap,Dream,43.2,16.6,187,2900,female
Chinstrap,Dream,50.6,19.4,193,3800,male
Chinstrap,Dream,46.7,17.9,195,3300,female
Chinstrap,Dream,52,19,197,4150,male
Chinstrap,Dream,50.5,18.4,200,3400,female
Chinstrap,Dream,49.5,19,200,3800,male
Chinstrap,Dream,46.4,17.8,191,3700,female
Chinstrap,Dream,52.8,20,205,4550,male
Chinstrap,Dream,40.9,16.6,187,3200,female
Chinstrap,Dream,54.2,20.8,201,4300,male
Chinstrap,Dream,42.5,16.7,187,3350,female
Chinstrap,Dream,51,18.8,203,4100,male
Chinstrap,Dream,49.7,18.6,195,3600,male
Chinstrap,Dream,47.5,16.8,199,3900,female
Chinstrap,Dream,47.6,18.3,195,3850,female
Chinstrap,Dream,52,20.7,210,4800,male
Chinstrap,Dream,46.9,16.6,192,2700,female
Chinstrap,Dream,53.5,19.9,205,4500,male
Chinstrap,Dream,49,19.5,210,3950,male
Chinstrap,Dream,46.2,17.5,187,3650,female
Chinstrap,Dream,50.9,19.1,196,3550,male
Chinstrap,Dream,45.5,17,196,3500,female
Chinstrap,Dream,50.9,17.9,196,3675,female
Chinstrap,Dream,50.8,18.5,201,4450,male
Chinstrap,Dream,50.1,17.9,190,3400,female
Chinstrap,Dream,49,19.6,212,4300,male
Chinstrap,Dream,51.5,18.7,187,3250,male
Chinstrap,Dream,49.8,17.3,198,3675,female
Chinstrap,Dream,48.1,16.4,199,3325,female
Chinstrap,Dream,51.4,19,201,3950,male
Chinstrap,Dream,45.7,17.3,193,3600,female
Chinstrap,Dream,50.7,19.7,203,4050,male
Chinstrap,Dream,42.5,17.3,187,3350,female
Chinstrap,Dream,52.2,18.8,197,3450,male
Chinstrap,Dream,45.2,16.6,191,3250,female
Chinstrap,Dream,49.3,19.9,203,4050,male
Chinstrap,Dream,50.2,18.8,202,3800,male
Chinstrap,Dream,45.6,19.4,194,3525,female
Chinstrap,Dream,51.9,19.5,206,3950,male
Chinstrap,Dream,46.8,16.5,189,3650,female
Chinstrap,Dream,45.7,17,195,3650,female
Chinstrap,Dream,55.8,19.8,207,4000,male
Chinstrap,Dream,43.5,18.1,202,3400,female
Chinstrap,Dream,49.6,18.2,193,3775,male
Chinstrap,Dream,50.8,19,210,4100,male
Chinstrap,Dream,50.2,18.7,198,3775,female
Adelie,Torgersen,41.8,19.4,198,4450,male
Adelie,Torgersen,33.5,19,190,3600,female
Adelie,Torgersen,39.7,18.4,190,3900,male
Adelie,Torgersen,39.6,17.2,196,3550,female
Adelie,Torgersen,45.8,18.9,197,4150,male
Adelie,Torgersen,35.5,17.5,190,3700,female
Adelie,Torgersen,42.8,18.5,195,4250,male
Adelie,Torgersen,40.9,16.8,191,3700,female
Adelie,Torgersen,37.2,19.4,184,3900,male
Adelie,Torgersen,36.2,16.1,187,3550,female
Adelie,Torgersen,42.1,19.1,195,4000,male
Adelie,Torgersen,34.6,17.2,189,3200,female
Adelie,Torgersen,42.9,17.6,196,4700,male
Adelie,Torgersen,36.7,18.8,187,3800,female
Adelie,Torgersen,35.1,19.4,193,4200,male
Adelie,Dream,37.3,17.8,191,3350,female
Adelie,Dream,41.3,20.3,194,3550,male
Adelie,Dream,36.3,19.5,190,3800,male
Adelie,Dream,36.9,18.6,189,3500,female
Adelie,Dream,38.3,19.2,189,3950,male
Adelie,Dream,38.9,18.8,190,3600,female
Adelie,Dream,35.7,18,202,3550,female
Adelie,Dream,41.1,18.1,205,4300,male
Adelie,Dream,34,17.1,185,3400,female
Adelie,Dream,39.6,18.1,186,4450,male
Adelie,Dream,36.2,17.3,187,3300,female
Adelie,Dream,40.8,18.9,208,4300,male
Adelie,Dream,38.1,18.6,190,3700,female
Adelie,Dream,40.3,18.5,196,4350,male
Adelie,Dream,33.1,16.1,178,2900,female
Adelie,Dream,43.2,18.5,192,4100,male
Adelie,Biscoe,35,17.9,192,3725,female
Adelie,Biscoe,41,20,203,4725,male
Adelie,Biscoe,37.7,16,183,3075,female
Adelie,Biscoe,37.8,20,190,4250,male
Adelie,Biscoe,37.9,18.6,193,2925,female
Adelie,Biscoe,39.7,18.9,184,3550,male
Adelie,Biscoe,38.6,17.2,199,3750,female
Adelie,Biscoe,38.2,20,190,3900,male
Adelie,Biscoe,38.1,17,181,3175,female
Adelie,Biscoe,43.2,19,197,4775,male
Adelie,Biscoe,38.1,16.5,198,3825,female
Adelie,Biscoe,45.6,20.3,191,4600,male
Adelie,Biscoe,39.7,17.7,193,3200,female
Adelie,Biscoe,42.2,19.5,197,4275,male
Adelie,Biscoe,39.6,20.7,191,3900,female
Adelie,Biscoe,42.7,18.3,196,4075,male
Adelie,Torgersen,38.6,17,188,2900,female
Adelie,Torgersen,37.3,20.5,199,3775,male
Adelie,Torgersen,35.7,17,189,3350,female
Adelie,Torgersen,41.1,18.6,189,3325,male
Adelie,Torgersen,36.2,17.2,187,3150,female
Adelie,Torgersen,37.7,19.8,198,3500,male
Adelie,Torgersen,40.2,17,176,3450,female
Adelie,Torgersen,41.4,18.5,202,3875,male
Adelie,Torgersen,35.2,15.9,186,3050,female
Adelie,Torgersen,40.6,19,199,4000,male
Adelie,Torgersen,38.8,17.6,191,3275,female
Adelie,Torgersen,41.5,18.3,195,4300,male
Adelie,Torgersen,39,17.1,191,3050,female
Adelie,Torgersen,44.1,18,210,4000,male
Adelie,Torgersen,38.5,17.9,190,3325,female
Adelie,Torgersen,43.1,19.2,197,3500,male
Adelie,Dream,36.8,18.5,193,3500,female
Adelie,Dream,37.5,18.5,199,4475,male
Adelie,Dream,38.1,17.6,187,3425,female
Adelie,Dream,41.1,17.5,190,3900,male
Adelie,Dream,35.6,17.5,191,3175,female
Adelie,Dream,40.2,20.1,200,3975,male
Adelie,Dream,37,16.5,185,3400,female
Adelie,Dream,39.7,17.9,193,4250,male
Adelie,Dream,40.2,17.1,193,3400,female
Adelie,Dream,40.6,17.2,187,3475,male
Adelie,Dream,32.1,15.5,188,3050,female
Adelie,Dream,40.7,17,190,3725,male
Adelie,Dream,37.3,16.8,192,3000,female
Adelie,Dream,39,18.7,185,3650,male
Adelie,Dream,39.2,18.6,190,4250,male
Adelie,Dream,36.6,18.4,184,3475,female
Adelie,Dream,36,17.8,195,3450,female
Adelie,Dream,37.8,18.1,193,3750,male
Adelie,Dream,36,17.1,187,3700,female
Adelie,Dream,41.5,18.5,201,4000,male
